Codigo Empresa;Data Ref;Ano;Mes;Dia;Codigo Conta;Descricao Conta;Valor Trimestre Atual;Valor Exercicio Anterior;Precisao
007617;20210930;2021;09;30;2;Passivo Total;81.007.000;72.600.000;Mil
007617;20210930;2021;09;30;2.01;Passivo Circulante;4.790.000;3.728.000;Mil
007617;20210930;2021;09;30;2.01.01;Obrigações Sociais e Trabalhistas;277.000;254.000;Mil
007617;20210930;2021;09;30;2.01.01.01;Obrigações Sociais;0;0;Mil
007617;20210930;2021;09;30;2.01.01.02;Obrigações Trabalhistas;277.000;254.000;Mil
007617;20210930;2021;09;30;2.01.02;Fornecedores;1.267.000;1.119.000;Mil
007617;20210930;2021;09;30;2.01.02.01;Fornecedores Nacionais;1.161.000;1.032.000;Mil
007617;20210930;2021;09;30;2.01.02.02;Fornecedores Estrangeiros;106.000;87.000;Mil
007617;20210930;2021;09;30;2.01.03;Obrigações Fiscais;161.000;127.000;Mil
007617;20210930;2021;09;30;2.01.03.01;Obrigações Fiscais Federais;161.000;127.000;Mil
007617;20210930;2021;09;30;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;70.000;19.000;Mil
007617;20210930;2021;09;30;2.01.03.01.02;Outras;91.000;108.000;Mil
007617;20210930;2021;09;30;2.01.03.02;Obrigações Fiscais Estaduais;0;0;Mil
007617;20210930;2021;09;30;2.01.03.03;Obrigações Fiscais Municipais;0;0;Mil
007617;20210930;2021;09;30;2.01.04;Empréstimos e Financiamentos;1.025.000;576.000;Mil
007617;20210930;2021;09;30;2.01.04.01;Empréstimos e Financiamentos;516.000;571.000;Mil
007617;20210930;2021;09;30;2.01.04.01.01;Em Moeda Nacional;516.000;570.000;Mil
007617;20210930;2021;09;30;2.01.04.01.02;Em Moeda Estrangeira;0;1.000;Mil
007617;20210930;2021;09;30;2.01.04.02;Debêntures;509.000;5.000;Mil
007617;20210930;2021;09;30;2.01.04.03;Financiamento por Arrendamento;0;0;Mil
007617;20210930;2021;09;30;2.01.05;Outras Obrigações;2.060.000;1.652.000;Mil
007617;20210930;2021;09;30;2.01.05.01;Passivos com Partes Relacionadas;0;0;Mil
007617;20210930;2021;09;30;2.01.05.01.01;Débitos com Coligadas;0;0;Mil
007617;20210930;2021;09;30;2.01.05.01.03;Débitos com Controladores;0;0;Mil
007617;20210930;2021;09;30;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0;0;Mil
007617;20210930;2021;09;30;2.01.05.02;Outros;2.060.000;1.652.000;Mil
007617;20210930;2021;09;30;2.01.05.02.01;Dividendos e JCP a Pagar;1.106.000;1.325.000;Mil
007617;20210930;2021;09;30;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0;0;Mil
007617;20210930;2021;09;30;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20210930;2021;09;30;2.01.05.02.04;Outros Passivos;927.000;302.000;Mil
007617;20210930;2021;09;30;2.01.05.02.05;Passivos de Arrendamentos;27.000;25.000;Mil
007617;20210930;2021;09;30;2.01.06;Provisões;0;0;Mil
007617;20210930;2021;09;30;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0;0;Mil
007617;20210930;2021;09;30;2.01.06.01.01;Provisões Fiscais;0;0;Mil
007617;20210930;2021;09;30;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20210930;2021;09;30;2.01.06.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20210930;2021;09;30;2.01.06.01.04;Provisões Cíveis;0;0;Mil
007617;20210930;2021;09;30;2.01.06.02;Outras Provisões;0;0;Mil
007617;20210930;2021;09;30;2.01.06.02.01;Provisões para Garantias;0;0;Mil
007617;20210930;2021;09;30;2.01.06.02.02;Provisões para Reestruturação;0;0;Mil
007617;20210930;2021;09;30;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20210930;2021;09;30;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20210930;2021;09;30;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20210930;2021;09;30;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20210930;2021;09;30;2.02;Passivo Não Circulante;9.817.000;8.239.000;Mil
007617;20210930;2021;09;30;2.02.01;Empréstimos e Financiamentos;7.161.000;5.125.000;Mil
007617;20210930;2021;09;30;2.02.01.01;Empréstimos e Financiamentos;1.376.000;1.434.000;Mil
007617;20210930;2021;09;30;2.02.01.01.01;Em Moeda Nacional;1.374.000;1.433.000;Mil
007617;20210930;2021;09;30;2.02.01.01.02;Em Moeda Estrangeira;2.000;1.000;Mil
007617;20210930;2021;09;30;2.02.01.02;Debêntures;5.785.000;3.691.000;Mil
007617;20210930;2021;09;30;2.02.01.03;Financiamento por Arrendamento;0;0;Mil
007617;20210930;2021;09;30;2.02.02;Outras Obrigações;700.000;1.157.000;Mil
007617;20210930;2021;09;30;2.02.02.01;Passivos com Partes Relacionadas;0;0;Mil
007617;20210930;2021;09;30;2.02.02.01.01;Débitos com Coligadas;0;0;Mil
007617;20210930;2021;09;30;2.02.02.01.03;Débitos com Controladores;0;0;Mil
007617;20210930;2021;09;30;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0;0;Mil
007617;20210930;2021;09;30;2.02.02.02;Outros;700.000;1.157.000;Mil
007617;20210930;2021;09;30;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20210930;2021;09;30;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20210930;2021;09;30;2.02.02.02.03;Outros Passivos;169.000;649.000;Mil
007617;20210930;2021;09;30;2.02.02.02.04;Passivos de Arrendamentos;363.000;345.000;Mil
007617;20210930;2021;09;30;2.02.02.02.05;Benefícios a empregados;53.000;50.000;Mil
007617;20210930;2021;09;30;2.02.02.02.06;Outros tributos a recolher;76.000;87.000;Mil
007617;20210930;2021;09;30;2.02.02.02.07;Fornecedores;0;7.000;Mil
007617;20210930;2021;09;30;2.02.02.02.08;Outros tributos diferidos;39.000;19.000;Mil
007617;20210930;2021;09;30;2.02.03;Tributos Diferidos;205.000;144.000;Mil
007617;20210930;2021;09;30;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;205.000;144.000;Mil
007617;20210930;2021;09;30;2.02.04;Provisões;1.751.000;1.813.000;Mil
007617;20210930;2021;09;30;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;1.751.000;1.813.000;Mil
007617;20210930;2021;09;30;2.02.04.01.01;Provisões Fiscais;0;0;Mil
007617;20210930;2021;09;30;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20210930;2021;09;30;2.02.04.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20210930;2021;09;30;2.02.04.01.04;Provisões Cíveis;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02;Outras Provisões;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02.01;Provisões para Garantias;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02.02;Provisões para Reestruturação;0;0;Mil
007617;20210930;2021;09;30;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20210930;2021;09;30;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20210930;2021;09;30;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20210930;2021;09;30;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20210930;2021;09;30;2.02.06;Lucros e Receitas a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.02.06.01;Lucros a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.02.06.02;Receitas a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.02.06.03;Subvenções de Investimento a Apropriar;0;0;Mil
007617;20210930;2021;09;30;2.03;Patrimônio Líquido Consolidado;66.400.000;60.633.000;Mil
007617;20210930;2021;09;30;2.03.01;Capital Social Realizado;43.515.000;43.515.000;Mil
007617;20210930;2021;09;30;2.03.02;Reservas de Capital;412.000;580.000;Mil
007617;20210930;2021;09;30;2.03.02.01;Ágio na Emissão de Ações;4.000;4.000;Mil
007617;20210930;2021;09;30;2.03.02.02;Reserva Especial de Ágio na Incorporação;0;0;Mil
007617;20210930;2021;09;30;2.03.02.03;Alienação de Bônus de Subscrição;0;0;Mil
007617;20210930;2021;09;30;2.03.02.04;Opções Outorgadas;524.000;572.000;Mil
007617;20210930;2021;09;30;2.03.02.05;Ações em Tesouraria;-90.000;0;Mil
007617;20210930;2021;09;30;2.03.02.06;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20210930;2021;09;30;2.03.02.07;Opções por Incentivos Fiscais;2.000;2.000;Mil
007617;20210930;2021;09;30;2.03.02.09;Outras Reservas de Capital;-28.000;2.000;Mil
007617;20210930;2021;09;30;2.03.03;Reservas de Reavaliação;6.000;6.000;Mil
007617;20210930;2021;09;30;2.03.04;Reservas de Lucros;20.608.000;14.545.000;Mil
007617;20210930;2021;09;30;2.03.04.01;Reserva Legal;3.019.000;2.615.000;Mil
007617;20210930;2021;09;30;2.03.04.02;Reserva Estatutária;16.289.000;11.882.000;Mil
007617;20210930;2021;09;30;2.03.04.03;Reserva para Contingências;0;0;Mil
007617;20210930;2021;09;30;2.03.04.04;Reserva de Lucros a Realizar;0;0;Mil
007617;20210930;2021;09;30;2.03.04.05;Reserva de Retenção de Lucros;0;0;Mil
007617;20210930;2021;09;30;2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;0;0;Mil
007617;20210930;2021;09;30;2.03.04.07;Reserva de Incentivos Fiscais;0;0;Mil
007617;20210930;2021;09;30;2.03.04.08;Dividendo Adicional Proposto;1.300.000;48.000;Mil
007617;20210930;2021;09;30;2.03.04.09;Ações em Tesouraria;0;0;Mil
007617;20210930;2021;09;30;2.03.05;Lucros/Prejuízos Acumulados;0;0;Mil
007617;20210930;2021;09;30;2.03.06;Ajustes de Avaliação Patrimonial;0;0;Mil
007617;20210930;2021;09;30;2.03.07;Ajustes Acumulados de Conversão;0;0;Mil
007617;20210930;2021;09;30;2.03.08;Outros Resultados Abrangentes;-1.939.000;-1.303.000;Mil
007617;20210930;2021;09;30;2.03.09;Participação dos Acionistas Não Controladores;3.798.000;3.290.000;Mil
007617;20230331;2023;03;31;2;Passivo Total;97.875.000;96.637.000;Mil
007617;20230331;2023;03;31;2.01;Passivo Circulante;7.657.000;7.359.000;Mil
007617;20230331;2023;03;31;2.01.01;Obrigações Sociais e Trabalhistas;208.000;259.000;Mil
007617;20230331;2023;03;31;2.01.01.01;Obrigações Sociais;0;0;Mil
007617;20230331;2023;03;31;2.01.01.02;Obrigações Trabalhistas;208.000;259.000;Mil
007617;20230331;2023;03;31;2.01.02;Fornecedores;1.131.000;1.237.000;Mil
007617;20230331;2023;03;31;2.01.02.01;Fornecedores Nacionais;1.013.000;1.130.000;Mil
007617;20230331;2023;03;31;2.01.02.02;Fornecedores Estrangeiros;118.000;107.000;Mil
007617;20230331;2023;03;31;2.01.03;Obrigações Fiscais;394.000;367.000;Mil
007617;20230331;2023;03;31;2.01.03.01;Obrigações Fiscais Federais;394.000;367.000;Mil
007617;20230331;2023;03;31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;32.000;21.000;Mil
007617;20230331;2023;03;31;2.01.03.01.02;Outras;362.000;346.000;Mil
007617;20230331;2023;03;31;2.01.03.02;Obrigações Fiscais Estaduais;0;0;Mil
007617;20230331;2023;03;31;2.01.03.03;Obrigações Fiscais Municipais;0;0;Mil
007617;20230331;2023;03;31;2.01.04;Empréstimos e Financiamentos;1.110.000;922.000;Mil
007617;20230331;2023;03;31;2.01.04.01;Empréstimos e Financiamentos;650.000;742.000;Mil
007617;20230331;2023;03;31;2.01.04.01.01;Em Moeda Nacional;641.000;734.000;Mil
007617;20230331;2023;03;31;2.01.04.01.02;Em Moeda Estrangeira;9.000;8.000;Mil
007617;20230331;2023;03;31;2.01.04.02;Debêntures;460.000;180.000;Mil
007617;20230331;2023;03;31;2.01.04.03;Financiamento por Arrendamento;0;0;Mil
007617;20230331;2023;03;31;2.01.05;Outras Obrigações;3.020.000;2.811.000;Mil
007617;20230331;2023;03;31;2.01.05.01;Passivos com Partes Relacionadas;2.000;6.000;Mil
007617;20230331;2023;03;31;2.01.05.01.01;Débitos com Coligadas;0;0;Mil
007617;20230331;2023;03;31;2.01.05.01.03;Débitos com Controladores;0;0;Mil
007617;20230331;2023;03;31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;2.000;6.000;Mil
007617;20230331;2023;03;31;2.01.05.02;Outros;3.018.000;2.805.000;Mil
007617;20230331;2023;03;31;2.01.05.02.01;Dividendos e JCP a Pagar;2.244.000;2.111.000;Mil
007617;20230331;2023;03;31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0;0;Mil
007617;20230331;2023;03;31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20230331;2023;03;31;2.01.05.02.04;Outros Passivos;726.000;654.000;Mil
007617;20230331;2023;03;31;2.01.05.02.05;Passivos de Arrendamentos;48.000;40.000;Mil
007617;20230331;2023;03;31;2.01.06;Provisões;1.794.000;1.763.000;Mil
007617;20230331;2023;03;31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;1.794.000;1.763.000;Mil
007617;20230331;2023;03;31;2.01.06.01.01;Provisões Fiscais;1.794.000;1.763.000;Mil
007617;20230331;2023;03;31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20230331;2023;03;31;2.01.06.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20230331;2023;03;31;2.01.06.01.04;Provisões Cíveis;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02;Outras Provisões;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02.01;Provisões para Garantias;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02.02;Provisões para Reestruturação;0;0;Mil
007617;20230331;2023;03;31;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20230331;2023;03;31;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20230331;2023;03;31;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20230331;2023;03;31;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20230331;2023;03;31;2.02;Passivo Não Circulante;12.799.000;12.743.000;Mil
007617;20230331;2023;03;31;2.02.01;Empréstimos e Financiamentos;11.127.000;11.125.000;Mil
007617;20230331;2023;03;31;2.02.01.01;Empréstimos e Financiamentos;3.640.000;3.639.000;Mil
007617;20230331;2023;03;31;2.02.01.01.01;Em Moeda Nacional;2.870.000;2.855.000;Mil
007617;20230331;2023;03;31;2.02.01.01.02;Em Moeda Estrangeira;770.000;784.000;Mil
007617;20230331;2023;03;31;2.02.01.02;Debêntures;7.487.000;7.486.000;Mil
007617;20230331;2023;03;31;2.02.01.03;Financiamento por Arrendamento;0;0;Mil
007617;20230331;2023;03;31;2.02.02;Outras Obrigações;1.008.000;996.000;Mil
007617;20230331;2023;03;31;2.02.02.01;Passivos com Partes Relacionadas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.01;Débitos com Coligadas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.03;Débitos com Controladores;0;0;Mil
007617;20230331;2023;03;31;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02;Outros;1.008.000;996.000;Mil
007617;20230331;2023;03;31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.03;Outros Passivos;328.000;334.000;Mil
007617;20230331;2023;03;31;2.02.02.02.04;Passivos de Arrendamentos;587.000;567.000;Mil
007617;20230331;2023;03;31;2.02.02.02.05;Benefícios a empregados;37.000;36.000;Mil
007617;20230331;2023;03;31;2.02.02.02.06;Outros tributos a recolher;54.000;57.000;Mil
007617;20230331;2023;03;31;2.02.02.02.07;Fornecedores;0;0;Mil
007617;20230331;2023;03;31;2.02.02.02.08;Outros tributos diferidos;2.000;2.000;Mil
007617;20230331;2023;03;31;2.02.03;Tributos Diferidos;287.000;207.000;Mil
007617;20230331;2023;03;31;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;287.000;207.000;Mil
007617;20230331;2023;03;31;2.02.04;Provisões;377.000;415.000;Mil
007617;20230331;2023;03;31;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;377.000;415.000;Mil
007617;20230331;2023;03;31;2.02.04.01.01;Provisões Fiscais;0;0;Mil
007617;20230331;2023;03;31;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20230331;2023;03;31;2.02.04.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20230331;2023;03;31;2.02.04.01.04;Provisões Cíveis;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02;Outras Provisões;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02.01;Provisões para Garantias;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02.02;Provisões para Reestruturação;0;0;Mil
007617;20230331;2023;03;31;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20230331;2023;03;31;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20230331;2023;03;31;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20230331;2023;03;31;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20230331;2023;03;31;2.02.06;Lucros e Receitas a Apropriar;0;0;Mil
007617;20230331;2023;03;31;2.02.06.01;Lucros a Apropriar;0;0;Mil
007617;20230331;2023;03;31;2.02.06.02;Receitas a Apropriar;0;0;Mil
007617;20230331;2023;03;31;2.02.06.03;Subvenções de Investimento a Apropriar;0;0;Mil
007617;20230331;2023;03;31;2.03;Patrimônio Líquido Consolidado;77.419.000;76.535.000;Mil
007617;20230331;2023;03;31;2.03.01;Capital Social Realizado;63.500.000;63.500.000;Mil
007617;20230331;2023;03;31;2.03.02;Reservas de Capital;382.000;563.000;Mil
007617;20230331;2023;03;31;2.03.02.01;Ágio na Emissão de Ações;4.000;4.000;Mil
007617;20230331;2023;03;31;2.03.02.02;Reserva Especial de Ágio na Incorporação;0;0;Mil
007617;20230331;2023;03;31;2.03.02.03;Alienação de Bônus de Subscrição;0;0;Mil
007617;20230331;2023;03;31;2.03.02.04;Opções Outorgadas;538.000;688.000;Mil
007617;20230331;2023;03;31;2.03.02.05;Ações em Tesouraria;0;0;Mil
007617;20230331;2023;03;31;2.03.02.06;Adiantamento para Futuro Aumento de Capital;0;0;Mil
007617;20230331;2023;03;31;2.03.02.07;Opções por Incentivos Fiscais;2.000;2.000;Mil
007617;20230331;2023;03;31;2.03.02.08;Reservas de Reavaliação;6.000;6.000;Mil
007617;20230331;2023;03;31;2.03.02.09;Outras Reservas de Capital;-168.000;-137.000;Mil
007617;20230331;2023;03;31;2.03.03;Reservas de Reavaliação;0;0;Mil
007617;20230331;2023;03;31;2.03.04;Reservas de Lucros;14.729.000;13.598.000;Mil
007617;20230331;2023;03;31;2.03.04.01;Reserva Legal;4.049.000;3.909.000;Mil
007617;20230331;2023;03;31;2.03.04.02;Reserva Estatutária;10.484.000;8.812.000;Mil
007617;20230331;2023;03;31;2.03.04.03;Reserva para Contingências;0;0;Mil
007617;20230331;2023;03;31;2.03.04.04;Reserva de Lucros a Realizar;0;0;Mil
007617;20230331;2023;03;31;2.03.04.05;Reserva de Retenção de Lucros;0;0;Mil
007617;20230331;2023;03;31;2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;0;0;Mil
007617;20230331;2023;03;31;2.03.04.07;Reserva de Incentivos Fiscais;0;0;Mil
007617;20230331;2023;03;31;2.03.04.08;Dividendo Adicional Proposto;196.000;877.000;Mil
007617;20230331;2023;03;31;2.03.04.09;Ações em Tesouraria;0;0;Mil
007617;20230331;2023;03;31;2.03.05;Lucros/Prejuízos Acumulados;0;0;Mil
007617;20230331;2023;03;31;2.03.06;Ajustes de Avaliação Patrimonial;0;0;Mil
007617;20230331;2023;03;31;2.03.07;Ajustes Acumulados de Conversão;0;0;Mil
007617;20230331;2023;03;31;2.03.08;Outros Resultados Abrangentes;-4.979.000;-4.864.000;Mil
007617;20230331;2023;03;31;2.03.09;Participação dos Acionistas Não Controladores;3.787.000;3.738.000;Mil
007617;20230630;2023;06;30;2;Passivo Total;102.327.000;96.637.000;Mil
007617;20230630;2023;06;30;2.01;Passivo Circulante;8.839.000;7.359.000;Mil
007617;20230630;2023;06;30;2.01.01;Obrigações Sociais e Trabalhistas;244.000;259.000;Mil
007617;20230630;2023;06;30;2.01.01.01;Obrigações Sociais;0;0;Mil
007617;20230630;2023;06;30;2.01.01.02;Obrigações Trabalhistas;244.000;259.000;Mil
007617;20230630;2023;06;30;2.01.02;Fornecedores;1.107.000;1.237.000;Mil
007617;20230630;2023;06;30;2.01.02.01;Fornecedores Nacionais;1.033.000;1.130.000;Mil
007617;20230630;2023;06;30;2.01.02.02;Fornecedores Estrangeiros;74.000;107.000;Mil
007617;20230630;2023;06;30;2.01.03;Obrigações Fiscais;416.000;367.000;Mil
007617;20230630;2023;06;30;2.01.03.01;Obrigações Fiscais Federais;416.000;367.000;Mil
007617;20230630;2023;06;30;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;43.000;21.000;Mil
007617;20230630;2023;06;30;2.01.03.01.02;Outras;373.000;346.000;Mil
007617;20230630;2023;06;30;2.01.03.02;Obrigações Fiscais Estaduais;0;0;Mil
007617;20230630;2023;06;30;2.01.03.03;Obrigações Fiscais Municipais;0;0;Mil
007617;20230630;2023;06;30;2.01.04;Empréstimos e Financiamentos;1.625.000;922.000;Mil
007617;20230630;2023;06;30;2.01.04.01;Empréstimos e Financiamentos;658.000;742.000;Mil
007617;20230630;2023;06;30;2.01.04.01.01;Em Moeda Nacional;649.000;734.000;Mil
007617;20230630;2023;06;30;2.01.04.01.02;Em Moeda Estrangeira;9.000;8.000;Mil
007617;20230630;2023;06;30;2.01.04.02;Debêntures;967.000;180.000;Mil
007617;20230630;2023;06;30;2.01.04.03;Financiamento por Arrendamento;0;0;Mil
007617;20230630;2023;06;30;2.01.05;Outras Obrigações;3.624.000;2.811.000;Mil
007617;20230630;2023;06;30;2.01.05.01;Passivos com Partes Relacionadas;2.000;6.000;Mil
007617;20230630;2023;06;30;2.01.05.01.01;Débitos com Coligadas;0;0;Mil
007617;20230630;2023;06;30;2.01.05.01.03;Débitos com Controladores;0;0;Mil
007617;20230630;2023;06;30;2.01.05.01.04;Débitos com Outras Partes Relacionadas;2.000;6.000;Mil
007617;20230630;2023;06;30;2.01.05.02;Outros;3.622.000;2.805.000;Mil
007617;20230630;2023;06;30;2.01.05.02.01;Dividendos e JCP a Pagar;2.747.000;2.111.000;Mil
007617;20230630;2023;06;30;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0;0;Mil
007617;20230630;2023;06;30;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
007617;20230630;2023;06;30;2.01.05.02.04;Outros Passivos;823.000;654.000;Mil
007617;20230630;2023;06;30;2.01.05.02.05;Passivos de Arrendamentos;52.000;40.000;Mil
007617;20230630;2023;06;30;2.01.06;Provisões;1.823.000;1.763.000;Mil
007617;20230630;2023;06;30;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;1.823.000;1.763.000;Mil
007617;20230630;2023;06;30;2.01.06.01.01;Provisões Fiscais;1.823.000;1.763.000;Mil
007617;20230630;2023;06;30;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0;0;Mil
007617;20230630;2023;06;30;2.01.06.01.03;Provisões para Benefícios a Empregados;0;0;Mil
007617;20230630;2023;06;30;2.01.06.01.04;Provisões Cíveis;0;0;Mil
007617;20230630;2023;06;30;2.01.06.02;Outras Provisões;0;0;Mil
007617;20230630;2023;06;30;2.01.06.02.01;Provisões para Garantias;0;0;Mil
007617;20230630;2023;06;30;2.01.06.02.02;Provisões para Reestruturação;0;0;Mil
007617;20230630;2023;06;30;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0;0;Mil
007617;20230630;2023;06;30;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0;0;Mil
007617;20230630;2023;06;30;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0;0;Mil
007617;20230630;2023;06;30;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0;0;Mil
007617;20230630;2023;06;30;2.02;Passivo Não Circulante;12.776.000;12.743.000;Mil
007617;20230630;2023;06;30;2.02.01;Empréstimos e Financiamentos;10.981.000;11.125.000;Mil
007617;20230630;2023;06;30;2.02.01.01;Empréstimos e Financiamentos;4.093.000;3.639.000;Mil
007617;20230630;2023;06;30;2.02.01.01.01;Em Moeda Nacional;2.877.000;2.855.000;Mil
007617;20230630;2023;06;30;2.02.01.01.02;Em Moeda Estrangeira;1.216.000;784.000;Mil
007617;20230630;2023;06;30;2.02.01.02;Debêntures;6.888.000;7.486.000;Mil
007617;20230630;2023;06;30;2.02.01.03;Financiamento por Arrendamento;0;0;Mil
007617;20230630;2023;06;30;2.02.02;Outras Obrigações;1.052.000;996.000;Mil
007617;20230630;2023;06;30;2.02.02.01;Passivos com Partes Relacionadas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.01;Débitos com Coligadas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.03;Débitos com Controladores;0;0;Mil
007617;20230630;2023;06;30;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0;0;Mil
007617;20230630;2023;06;30;2.02.02.02;Outros;1.052.000;996.000;Mil
007617;20230630;2023;06;30;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0;0;Mil
